id,name,aliases,family,summary,commercial_scenarios,defense_scenarios,source_revision,tags
morphing_swarm,Morphing Swarm,,coordinate,Change swarm geometry to handle constraints or changing swarm size,swarm passage through damaged urban spaces,swarm adaptation for strike or isr in constrained terrain,2019-10-26,adaptive_formation|swarm|geometry
refuel,Refuel,,sustain,Drive selected vehicles to attempt a refuel rejoin on a provider,persistent surveillance endurance extension,range extension and airborne sustainment,2019-10-26,refuel|rejoin|endurance
mimic_me,Mimic Me,,coordinate,Mimic master actions in pitch roll course and speed,alternative swarm control through flocking,simplistic swarm and drag_along teaming,2019-10-26,mimic|master_slave|flocking
observe,Observe,,observe,Train sensors on a designated point or area and maintain observation,long_term surveillance and monitoring,airborne isr combat search and rescue and battle damage assessment,2019-10-26,observe|sensor_focus|persistent
monitor,Monitor,,observe,Monitor traffic or crowd flow in a public acceptance friendly way,public_safety traffic and pedestrian monitoring,isr style monitoring without narrow target focus,2019-10-26,public_safety|flow_monitoring|situational_awareness
document,Document,,inspect,Document an accident crime scene or mishap with a repeatable capture pattern,law_enforcement scene documentation,mishap investigation support,2019-10-26,evidence|scene_capture|documentation
precision_land,Precision Land,,recover,Use onboard sensing to land precisely on a designated location,package or cargo delivery,package or cargo delivery,2022-08-10,landing|precision|terminal_phase
lz_sanitize,LZ Sanitize,,recover,Assess whether a landing zone is clear and make a go no go decision,package or cargo delivery,package or cargo delivery,2022-08-10,landing_zone|safety_check|go_no_go
handoff,Handoff,,coordinate,Hand off control of a vehicle or payload between control stations,control transfer between operating nodes,control transfer between operating nodes,2022-08-10,handoff|control_station|payload_control
survey,Survey,,area_cover,Perform a single pass survey over a selected geographic area,search and rescue and environmental monitoring,isr and combat search and rescue,2022-08-10,survey|single_pass|coverage
persistent_isr,Persistent ISR,,sustain,Launch replacement vehicles before the current one must depart to keep continuous coverage,law_enforcement and disaster response persistence,long_duration isr continuity,2022-08-10,continuous_coverage|rotation|persistence
scout,Scout,,area_cover,Dispatch vehicles ahead to scout a path or location and report findings,search and rescue disaster response and exploration,isr and combat search and rescue scouting,2022-08-10,forward_scout|path_recon|report_back
bda,BDA,Battle Damage Assessment,inspect,Follow a path to a point of interest and assess resulting damage,no active civil use case,post_strike analysis,2022-08-10,assessment|damage|post_effect
weather_ship,Weather Ship,,area_cover,Fly an optimum profile and use onboard sensors to determine route weather,civil aviation risk reduction in remote areas,weather collection for mission planning,2022-08-10,weather|route_check|environmental_sensing
impact,Impact,,strike,Conduct kinetic impact on a tracked item with countdown and abort control,no active civil use case,strike,2022-08-10,impact|abort|terminal_effect
offensive_envelopment,Offensive Envelopment,,coordinate,Assign moving positions around an entity with sensors focused inward,no active civil use case,isr and ground maneuver support,2022-08-10,encirclement|moving_stack|sensor_inward
harass,Harass,,strike,Command vehicles to buzz or overfly an entity to disrupt activity,no active civil use case,combined_arms harassment,2022-08-10,disruption|buzzing|pressure
pickle,Pickle,,strike,Release a free fall device or ordnance from a mothership,no active civil use case,weapons employment,2022-08-10,release|ordnance|mothership
hunter_killer_pack,Hunter-Killer Pack,,strike,Use collaborative cueing where one asset targets and another executes the effect,no active civil use case,combined_arms asymmetric autonomy and weapons employment,2022-08-10,collaboration|cue_to_effect|kill_chain
penetrate,Penetrate,,pathfind,Perform path planning and cost map analysis to penetrate a defensive network,no active civil use case,strike ingress planning,2022-08-10,penetration|cost_map|adversarial_route
ale,ALE,,pathfind,Optimize path planning for a loitering munition,no active civil use case,strike path optimization,2022-08-10,munition_route|optimization|loitering
distract,Distract,,deceive,Perform erratic visible maneuvers near entities of interest,law_enforcement presence operations,defensive and offensive distraction,2022-08-10,visible_maneuver|attention|misdirection
defensive_posture,Defensive Posture,,protect,Assign moving positions around an entity with sensors focused outward,law_enforcement and event security,defensive operations,2022-08-10,protective_stack|sensor_outward|screen
go_dark,Go Dark,,deceive,Turn off control or vehicle rf emissions while continuing the mission,no active civil use case,operations in rf_denied areas,2022-08-10,signature_management|rf_silence|low_observable
spoof,Spoof,,deceive,Intentionally falsify vehicle specific data such as location or state,no active civil use case,self_protection through false data,2022-08-10,false_data|state_masking|spoofing
deceive,Deceive,,deceive,Project alternative blue force courses of action through intentional false patterns,no active civil use case,offensive and defensive deception,2022-08-10,false_pattern|course_of_action|mislead
inspect,Inspect,,inspect,Execute optimized three dimensional inspection or mapping around an entity,construction and civil engineering inspections,civil engineering support,2022-08-10,inspection|mapping|3d_path
box_and_1,Box & 1,,coordinate,Create a five point landing reference geometry using multiple vehicles,no active civil use case,tactical airdrop or insertion support,2022-08-10,landing_reference|geometry|multi_vehicle
stack,Stack,,coordinate,Position multiple vehicles into a selected stack geometry,group geometry command,group geometry command,2022-08-10,stack|geometry|group_command
told,TOLD,Takeoff and Landing Data,coordinate,Calculate tactical takeoff and landing reference positions for visual indications,austere takeoff or landing support,austere takeoff or landing support,2022-08-10,takeoff|landing|visual_reference
spawn,Spawn,,deliver,Release smaller vehicles inflight from a mothership,extended_range operations,extended_range operations,2022-08-10,mothership|release|range_extension
ditch,Ditch,,protect,Intentionally crash a vehicle as a controlled outcome,no active civil use case,safety lever for emergency termination,2023-11-27,emergency|termination|safety
digby,Digby,,observe,Use sentries to peek into a space and draw attention while observing,no active civil use case,isr peek and probe behavior,2023-11-27,sentry|peek|attention_drawing
ccuas,ccUAS,,protect,Perform maneuvers intended to defeat counter uas systems,no active civil use case,continued operations in c_uas defended areas,2023-11-27,counter_counter_uas|survivability|maneuver
gullet_ingest,Gullet Ingest,,strike,Use computer vision to fly into propulsion intakes,no active civil use case,offensive and defensive attack option,2023-11-27,computer_vision|terminal_attack|intake
whack_a_mole,Whack-a-Mole,,protect,Cycle vehicles above and below masking altitude for self protection,no active civil use case,self_protection through alternating exposure,2023-11-27,masking|alternation|survivability
evasive_ew,Evasive EW,,protect,Combine path planning with electronic warfare management to evade ew activity,no active civil use case,self_protection against ew threats,2023-11-27,ew|evasion|adaptive_route
mutombo_cuas,Mutombo cUAS,,protect,Use hovering vehicles as a defensive wall against incoming strike assets,no active civil use case,defense against adversary uas,2023-11-27,wall|hover|counter_uas
no_gnss_nav,No GNSS Nav,,pathfind,Navigate long range without satellite based position data,gnss_denied navigation in urban canyons,navigation in high_threat areas,2023-11-27,gnss_denied|navigation|resilient_positioning
